split,queue,rows,positives,top10_capture,top10_hit_rate,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews,top10_severe_margin_median,top10_normal_margin_median
2025_01_to_2025_02,SDS-KB queue,313896,12510,0.9907274180655475,0.3948391207390889,0.9946567122351437,0.8900799436528378,0.011189851007553474,31390,12394,12023,0.9700661610456672,39.48391207390889,38.302007008601464,1.8866795832036343,0.09438003505017611
2025_01_to_2025_02,LightGBM score queue with SDS-KB evidence,313896,12510,0.9960831334932054,0.39697355845810767,0.9960324176273111,0.9197846020224727,0.019904086400544824,31390,12461,12023,0.964850333039082,39.69735584581077,38.302007008601464,1.8792118590234308,0.04244608763676827
2025_02_to_2025_03,SDS-KB queue,378077,15495,0.9919328815747015,0.40652771900126955,0.9947941599827784,0.8957413560363102,0.010691442034499489,37808,15370,14868,0.9673389720234222,40.65277190012696,39.32501057977148,1.5930022126404797,0.1313725402243111
2025_02_to_2025_03,LightGBM score queue with SDS-KB evidence,378077,15495,0.9969022265246854,0.40856432501057977,0.9962686135571742,0.9190075794209194,0.02026037556869425,37808,15447,14866,0.9623875186120282,40.856432501057974,39.31972069403301,1.584202453292459,0.0592263328050151
2025_03_to_2025_04,SDS-KB queue,372996,15580,0.9932605905006419,0.4148793565683646,0.995803333884956,0.9147062079823176,0.010882131391617282,37300,15475,15032,0.971373182552504,41.48793565683646,40.30026809651474,1.8006286009682264,0.09018583440233585
2025_03_to_2025_04,LightGBM score queue with SDS-KB evidence,372996,15580,0.9971116816431322,0.41648793565683645,0.9970338448312626,0.9390101152931792,0.018964927797053745,37300,15535,15030,0.9674927582877374,41.64879356568365,40.29490616621984,1.7905687609995948,0.04091996731545944
2025_04_to_2025_05,SDS-KB queue,388315,19642,0.9893086243763364,0.50041203131438,0.9953009689062154,0.9196185747413059,0.01259888047747177,38832,19432,18944,0.9748867846850556,50.04120313143799,48.78450762257932,1.7312464453646115,0.18927460096098014
2025_04_to_2025_05,LightGBM score queue with SDS-KB evidence,388315,19642,0.9954179818755727,0.503502266172229,0.9966118214484784,0.942434086767044,0.021552801285010123,38832,19552,18944,0.9689034369885434,50.35022661722291,48.78450762257932,1.7197540679543177,0.1203111216601882
2025_05_to_2025_06,SDS-KB queue,382303,26670,0.9712410948631421,0.6775391697836834,0.9936936181426848,0.9158850266550491,0.017124275802809556,38231,25903,25503,0.9845577732308999,67.75391697836834,66.7076456278936,1.660559012100189,0.6003921201278255
2025_05_to_2025_06,LightGBM score queue with SDS-KB evidence,382303,26670,0.9794150731158605,0.6832413486437707,0.9954260080309217,0.9413208427265769,0.025454446796685244,38231,26121,25486,0.9756900578078941,68.32413486437707,66.66317909549842,1.6488705082887727,0.5364871874959098
2025_06_to_2025_07,SDS-KB queue,388190,27986,0.96444650896877,0.695303846054767,0.9935434917493806,0.9217860211381059,0.018866437606917457,38819,26991,26588,0.9850690971064429,69.5303846054767,68.49223318478064,1.425414914297298,0.5679128607648652
2025_06_to_2025_07,LightGBM score queue with SDS-KB evidence,388190,27986,0.973915529193168,0.7021304000618254,0.9952615906922777,0.945864006418511,0.026522678947933535,38819,27256,26563,0.9745744056354564,70.21304000618254,68.42783173188387,1.4128022550333372,0.47762904738377254
2025_07_to_2025_08,SDS-KB queue,375518,18515,0.9895760194436943,0.48791009799744356,0.9954205986913246,0.9234062396781871,0.013852057307065142,37552,18322,17700,0.9660517410763018,48.79100979974435,47.134639965913934,1.3004265737703355,0.1320601999876581
2025_07_to_2025_08,LightGBM score queue with SDS-KB evidence,375518,18515,0.9960572508776667,0.49110566680869194,0.9966511566458724,0.9445152555859908,0.019754015979525735,37552,18442,17699,0.9597115280338359,49.1105666808692,47.13197699190456,1.29397099227459,0.07772279906084878
2025_08_to_2025_09,SDS-KB queue,363977,11393,0.9964012990432722,0.31188526842134184,0.9970408687987632,0.9220073247078571,0.008211084544917058,36398,11352,11020,0.970754052149401,31.188526842134184,30.27638881257212,1.8720611690190312,-0.0906645807075046
2025_08_to_2025_09,LightGBM score queue with SDS-KB evidence,363977,11393,0.9985956288949355,0.3125721193472169,0.9977427462847704,0.9392638602408321,0.014640601866059536,36398,11377,11020,0.9686209018194604,31.25721193472169,30.27638881257212,1.8684274977756572,-0.1758413488004369
2025_09_to_2025_10,SDS-KB queue,396028,16316,0.9934420201029664,0.40928717521399893,0.9959890607160258,0.9166902876167553,0.010234805556855658,39603,16209,15768,0.9727928928373126,40.928717521399896,39.81516551776381,2.177942644778435,0.08231634760492446
2025_09_to_2025_10,LightGBM score queue with SDS-KB evidence,396028,16316,0.997303260603089,0.4108779637906219,0.9968304203526214,0.9332391875863812,0.018192323310446543,39603,16272,15762,0.9686578171091446,41.08779637906219,39.80001515036739,2.171096433972464,0.030647284066148694
2025_10_to_2025_11,SDS-KB queue,356333,16607,0.9927139158186307,0.46264803277768424,0.9959047335169094,0.9255156849422754,0.012641671423848007,35634,16486,16081,0.9754337013223341,46.26480327776842,45.12824830218331,2.1959592204017033,0.12513129937760503
2025_10_to_2025_11,LightGBM score queue with SDS-KB evidence,356333,16607,0.9963268501234419,0.4643318179266992,0.9969602180557282,0.9441101652951156,0.02036611201233518,35634,16546,16080,0.9718360933156049,46.43318179266992,45.12544199360162,2.190658471517429,0.08389380579326033
2025_11_to_2025_12,SDS-KB queue,362076,21431,0.979702300405954,0.5798718515245249,0.9930663631336322,0.8995664035402097,0.01737988171998572,36208,20996,20592,0.980758239664698,57.9871851524525,56.87140963323022,1.99049032308193,0.5738899453158818
2025_11_to_2025_12,LightGBM score queue with SDS-KB evidence,362076,21431,0.9877280574868181,0.5846221829429961,0.9949829928970538,0.9275799874152069,0.026218722470201804,36208,21168,20571,0.971797052154195,58.4622182942996,56.8134114007954,1.9744704707596392,0.4964760718621473
