protocol,fold,queue,rows,positives,top10_capture,auc,pr_auc,brier,reviewed_paths,captured_severe_cases,evidence_supported_severe_cases,evidence_hit_rate,severe_cases_per_100_reviews,evidence_supported_cases_per_100_reviews
carrier,2025_06_to_2025_07_OO,LightGBM score + PE-KB evidence,67732,2273,0.9199296084469863,0.9641480966646122,0.3717702908322215,0.058589215591615736,6774,2091,2069,0.989478718316595,30.868024800708593,30.543253616770002
carrier,2025_06_to_2025_07_OO,XGBoost score + PE-KB evidence,67732,2273,0.9159700835899692,0.9626231683649711,0.3601011232659073,0.06127371402257442,6774,2082,2067,0.9927953890489913,30.735163861824624,30.513728963684677
carrier,2025_06_to_2025_07_OO,CatBoost score + PE-KB evidence,67732,2273,0.9146502419709635,0.9631400940666661,0.376428359605415,0.06279663900142753,6774,2079,2068,0.9947089947089947,30.690876882196633,30.52849129022734
carrier,2025_06_to_2025_07_UA,PE-KB queue,55294,3461,0.9919098526437445,0.9970675219802346,0.9595412420837367,0.018709467186036093,5530,3433,3361,0.9790270900087387,62.079566003616634,60.77757685352622
carrier,2025_06_to_2025_07_UA,LightGBM score + PE-KB evidence,55294,3461,0.9945102571511124,0.9972960691837581,0.9640762270672028,0.01982336551464852,5530,3442,3360,0.9761766414875073,62.24231464737794,60.75949367088607
carrier,2025_06_to_2025_07_UA,XGBoost score + PE-KB evidence,55294,3461,0.9947991909852644,0.9973963484500455,0.96906999109773,0.02194690561824589,5530,3443,3360,0.9758931164681963,62.260397830018086,60.75949367088607
carrier,2025_06_to_2025_07_UA,CatBoost score + PE-KB evidence,55294,3461,0.9939323894828085,0.9972349662527478,0.961928657075588,0.0158698490178832,5530,3440,3360,0.9767441860465116,62.20614828209765,60.75949367088607
carrier,2025_06_to_2025_07_WN,PE-KB queue,115205,10402,0.8788694481830417,0.986048835257796,0.8610731838759259,0.0273391032977888,11521,9142,9112,0.9967184423539707,79.35075080288169,79.09035673986634
carrier,2025_06_to_2025_07_WN,LightGBM score + PE-KB evidence,115205,10402,0.8998269563545472,0.9889673913850101,0.8895959518042552,0.03169273361073476,11521,9360,9315,0.9951923076923077,81.24294766079333,80.85235656627029
carrier,2025_06_to_2025_07_WN,XGBoost score + PE-KB evidence,115205,10402,0.898288790617189,0.9888412645794569,0.8860353834720485,0.03203284921496814,11521,9344,9297,0.9949700342465754,81.10407082718514,80.69612012846108
carrier,2025_06_to_2025_07_WN,CatBoost score + PE-KB evidence,115205,10402,0.9019419342434147,0.988685210996294,0.8860704762414234,0.02762146273616338,11521,9382,9343,0.9958431038158175,81.4339033070046,81.09539102508462
carrier,2025_07_to_2025_08_AA,PE-KB queue,66763,5567,0.9441350817316329,0.9950239350848619,0.9566988565198619,0.020189445929598027,6677,5256,5144,0.9786910197869102,78.71798711996405,77.04058709001049
carrier,2025_07_to_2025_08_AA,LightGBM score + PE-KB evidence,66763,5567,0.9342554338063589,0.994847106887389,0.9558103829148981,0.01899802519377393,6677,5201,5084,0.9775043260911364,77.894263890969,76.14197993110679
carrier,2025_07_to_2025_08_AA,XGBoost score + PE-KB evidence,66763,5567,0.9240165259565295,0.9941325893497619,0.9528189250309578,0.019979540657018603,6677,5144,5027,0.9772550544323484,77.04058709001049,75.28830313014826
carrier,2025_07_to_2025_08_AA,CatBoost score + PE-KB evidence,66763,5567,0.9385665529010239,0.9946361276866459,0.9561288563233852,0.020334411295138192,6677,5225,5115,0.9789473684210527,78.25370675453048,76.60626029654036
carrier,2025_07_to_2025_08_DL,PE-KB queue,79869,2799,0.9953554841014648,0.9966982545296327,0.9203762556767897,0.010577440274070095,7987,2786,2673,0.9594400574300072,34.88168273444347,33.466883685989735
carrier,2025_07_to_2025_08_DL,LightGBM score + PE-KB evidence,79869,2799,0.9942836727402644,0.9965602439248146,0.9163615720773043,0.008912247748125384,7987,2783,2671,0.9597556593604024,34.84412169775886,33.44184299486666
carrier,2025_07_to_2025_08_DL,XGBoost score + PE-KB evidence,79869,2799,0.9935691318327974,0.9965712211719203,0.9184727846988059,0.010321218087823485,7987,2781,2671,0.9604458827759799,34.819081006635784,33.44184299486666
carrier,2025_07_to_2025_08_DL,CatBoost score + PE-KB evidence,79869,2799,0.9935691318327974,0.9961670818597144,0.9142839359990941,0.00888471100010523,7987,2781,2673,0.9611650485436893,34.819081006635784,33.466883685989735
carrier,2025_07_to_2025_08_OO,PE-KB queue,66561,1689,0.9455298993487271,0.9716493630194463,0.3515267528746817,0.04520290957521579,6657,1597,1555,0.9737006887914841,23.98978518852336,23.358870362024938
carrier,2025_07_to_2025_08_OO,LightGBM score + PE-KB evidence,66561,1689,0.9449378330373002,0.9720701488328686,0.35465674415313875,0.04439581544587397,6657,1596,1549,0.9705513784461153,23.974763406940063,23.26873967252516
carrier,2025_07_to_2025_08_OO,XGBoost score + PE-KB evidence,66561,1689,0.9449378330373002,0.9700189720052445,0.33050413491646136,0.04625667845597071,6657,1596,1550,0.9711779448621554,23.974763406940063,23.283761454108458
carrier,2025_07_to_2025_08_OO,CatBoost score + PE-KB evidence,66561,1689,0.9437537004144464,0.970669818731623,0.354419703056937,0.04901715294380541,6657,1594,1549,0.9717691342534505,23.94471984377347,23.26873967252516
carrier,2025_07_to_2025_08_UA,PE-KB queue,56083,2204,0.9954627949183303,0.9975048866807789,0.9529174563691827,0.015708823527584376,5609,2194,2149,0.9794895168641751,39.1157068996256,38.313424852914956
carrier,2025_07_to_2025_08_UA,LightGBM score + PE-KB evidence,56083,2204,0.9972776769509982,0.9981143638755781,0.966143246207261,0.015370126274303645,5609,2198,2149,0.9777070063694268,39.18702085933322,38.313424852914956
carrier,2025_07_to_2025_08_UA,XGBoost score + PE-KB evidence,56083,2204,0.9977313974591652,0.9978200253380829,0.9658004524093193,0.015601535859853178,5609,2199,2149,0.977262391996362,39.204849349260115,38.313424852914956
carrier,2025_07_to_2025_08_UA,CatBoost score + PE-KB evidence,56083,2204,0.9977313974591652,0.9976624370619531,0.9632403027271194,0.012904673910057188,5609,2199,2150,0.9777171441564347,39.204849349260115,38.33125334284186
carrier,2025_07_to_2025_08_WN,PE-KB queue,106242,6256,0.9689897698209718,0.9900380834327036,0.8715227761498986,0.018248905060019822,10625,6062,5910,0.974925767073573,57.054117647058824,55.62352941176471
carrier,2025_07_to_2025_08_WN,LightGBM score + PE-KB evidence,106242,6256,0.9675511508951407,0.9931359627879873,0.9052043474789708,0.021453916518578506,10625,6053,5900,0.9747232777135305,56.96941176470588,55.529411764705884
carrier,2025_07_to_2025_08_WN,XGBoost score + PE-KB evidence,106242,6256,0.9667519181585678,0.9928067167255078,0.899992047201202,0.021748010371714647,10625,6048,5900,0.9755291005291006,56.92235294117647,55.529411764705884
carrier,2025_07_to_2025_08_WN,CatBoost score + PE-KB evidence,106242,6256,0.9664322250639387,0.992476118971234,0.8937358809475437,0.017884082537748865,10625,6046,5905,0.9766787958981145,56.90352941176471,55.576470588235296
carrier,2025_08_to_2025_09_AA,PE-KB queue,64130,3022,0.9890800794176042,0.9969845730381037,0.9604693417996595,0.009955356417014932,6413,2989,2881,0.9638675142188022,46.608451582722594,44.92437236862623
carrier,2025_08_to_2025_09_AA,LightGBM score + PE-KB evidence,64130,3022,0.9950363997352747,0.9971678366847174,0.9604560665369651,0.009252628153793527,6413,3007,2881,0.9580977718656468,46.889131451738656,44.92437236862623
carrier,2025_08_to_2025_09_AA,XGBoost score + PE-KB evidence,64130,3022,0.9923891462607545,0.9970410499521586,0.9588155941919483,0.00991362314177579,6413,2999,2881,0.9606535511837279,46.764384843287075,44.92437236862623
carrier,2025_08_to_2025_09_AA,CatBoost score + PE-KB evidence,64130,3022,0.9956982131039047,0.9974265193083195,0.9622746059601965,0.008984601611757627,6413,3009,2881,0.9574609504818876,46.92031810385155,44.92437236862623
carrier,2025_08_to_2025_09_DL,PE-KB queue,76260,1800,1.0,0.9983766004118543,0.9361837650311275,0.005689738606134269,7626,1800,1738,0.9655555555555555,23.603461841070022,22.79045371098872
carrier,2025_08_to_2025_09_DL,LightGBM score + PE-KB evidence,76260,1800,0.9983333333333333,0.9983725564807353,0.9387684871507006,0.005194298376825894,7626,1797,1738,0.9671675013912076,23.564122738001572,22.79045371098872
carrier,2025_08_to_2025_09_DL,XGBoost score + PE-KB evidence,76260,1800,0.9977777777777778,0.9983810323216045,0.9378556319941115,0.005304164029029692,7626,1796,1738,0.967706013363029,23.551009703645423,22.79045371098872
carrier,2025_08_to_2025_09_DL,CatBoost score + PE-KB evidence,76260,1800,0.9988888888888889,0.9984150774465037,0.9347427396430387,0.004659485552053735,7626,1798,1738,0.9666295884315906,23.577235772357724,22.79045371098872
carrier,2025_08_to_2025_09_OO,PE-KB queue,63329,953,0.9769150052465897,0.9827695587710237,0.3849964464711696,0.02889864543161617,6333,931,905,0.9720730397422127,14.70077372493289,14.290225801357966
carrier,2025_08_to_2025_09_OO,LightGBM score + PE-KB evidence,63329,953,0.9800629590766002,0.983755001822882,0.36094170313325297,0.0282695511975582,6333,934,905,0.9689507494646681,14.748144639191537,14.290225801357966
carrier,2025_08_to_2025_09_OO,XGBoost score + PE-KB evidence,63329,953,0.9790136411332634,0.9831530941017619,0.36610004604772634,0.02935898386549578,6333,933,905,0.969989281886388,14.732354334438655,14.290225801357966
carrier,2025_08_to_2025_09_OO,CatBoost score + PE-KB evidence,63329,953,0.9716684155299056,0.9825974397422745,0.3840098476266857,0.030551513240505028,6333,926,905,0.9773218142548596,14.621822201168483,14.290225801357966
carrier,2025_08_to_2025_09_UA,PE-KB queue,56683,1386,0.9992784992784993,0.9983469430365284,0.9489326580802007,0.008688710260035853,5669,1385,1356,0.9790613718411553,24.431116599047453,23.919562533074615
carrier,2025_08_to_2025_09_UA,LightGBM score + PE-KB evidence,56683,1386,1.0,0.9989005846195206,0.9660149789370529,0.00768304112472571,5669,1386,1356,0.9783549783549783,24.448756394425825,23.919562533074615
carrier,2025_08_to_2025_09_UA,XGBoost score + PE-KB evidence,56683,1386,0.9971139971139971,0.9987242314041236,0.9655399380160247,0.008257921462546107,5669,1382,1355,0.9804630969609262,24.37819721291233,23.901922737696243
carrier,2025_08_to_2025_09_UA,CatBoost score + PE-KB evidence,56683,1386,0.9985569985569985,0.9987121231040431,0.9611877753977319,0.006357655204847286,5669,1384,1355,0.9790462427745664,24.413476803669077,23.901922737696243
carrier,2025_08_to_2025_09_WN,PE-KB queue,103575,4232,0.9815689981096408,0.9932545719517114,0.8788547108643894,0.012869158097669673,10358,4154,4054,0.9759268175252769,40.104267233056575,39.13882988994014
carrier,2025_08_to_2025_09_WN,LightGBM score + PE-KB evidence,103575,4232,0.9810964083175804,0.9940473216689605,0.9051260225898687,0.01583126250240512,10358,4152,4052,0.9759152215799615,40.084958486194246,39.11952114307781
carrier,2025_08_to_2025_09_WN,XGBoost score + PE-KB evidence,103575,4232,0.9839319470699432,0.9946559006091572,0.9038371157779226,0.01587759733567853,10358,4164,4053,0.973342939481268,40.20081096736822,39.12917551650898
carrier,2025_08_to_2025_09_WN,CatBoost score + PE-KB evidence,103575,4232,0.9803875236294896,0.9943804567273528,0.8889972007369716,0.012459139498698797,10358,4149,4053,0.9768618944323934,40.055995365900756,39.12917551650898
carrier,2025_09_to_2025_10_AA,PE-KB queue,73002,3948,0.9853090172239108,0.9962616550857853,0.952862948317744,0.01118758143475103,7301,3890,3770,0.9691516709511568,53.28037255170525,51.63676208738529
carrier,2025_09_to_2025_10_AA,LightGBM score + PE-KB evidence,73002,3948,0.9898682877406282,0.9967307790103271,0.9577085580948372,0.011855089042039746,7301,3908,3767,0.9639201637666326,53.52691412135324,51.59567182577729
carrier,2025_09_to_2025_10_AA,XGBoost score + PE-KB evidence,73002,3948,0.9848024316109423,0.9960995185654009,0.9541054945517864,0.012272161903398068,7301,3888,3759,0.966820987654321,53.25297904396658,51.486097794822626
carrier,2025_09_to_2025_10_AA,CatBoost score + PE-KB evidence,73002,3948,0.9842958459979737,0.9961507390703643,0.9539748956356671,0.010214060581402763,7301,3886,3755,0.9662892434379825,53.22558553622791,51.431310779345296
carrier,2025_09_to_2025_10_DL,PE-KB queue,81427,2720,0.9985294117647059,0.9977306773110098,0.9430740303873266,0.006575074143276529,8143,2716,2618,0.9639175257731959,33.3538008105121,32.150313152400834
carrier,2025_09_to_2025_10_DL,LightGBM score + PE-KB evidence,81427,2720,0.9981617647058824,0.9979007795292891,0.9392892745265603,0.00651732600457883,8143,2715,2617,0.9639042357274401,33.341520324204836,32.13803266609358
carrier,2025_09_to_2025_10_DL,XGBoost score + PE-KB evidence,81427,2720,0.9977941176470588,0.9978362975413653,0.9407870247856489,0.006595574052244062,8143,2714,2617,0.9642593957258658,33.32923983789758,32.13803266609358
carrier,2025_09_to_2025_10_DL,CatBoost score + PE-KB evidence,81427,2720,0.9985294117647059,0.9975751932521137,0.9353573232578473,0.0062545226053781515,8143,2716,2618,0.9639175257731959,33.3538008105121,32.150313152400834
carrier,2025_09_to_2025_10_OO,PE-KB queue,65570,1259,0.9801429706115965,0.9823389491510975,0.443709675075725,0.029582871572176535,6557,1234,1203,0.9748784440842788,18.819582125972243,18.346804941284123
carrier,2025_09_to_2025_10_OO,LightGBM score + PE-KB evidence,65570,1259,0.9841143764892772,0.9830859891782077,0.4575994475856615,0.030359585108055764,6557,1239,1203,0.9709443099273608,18.89583651059936,18.346804941284123
carrier,2025_09_to_2025_10_OO,XGBoost score + PE-KB evidence,65570,1259,0.9753772835583797,0.9802655505849632,0.3632965380421897,0.0316021503914947,6557,1228,1201,0.9780130293159609,18.728076864419705,18.316303187433277
carrier,2025_09_to_2025_10_OO,CatBoost score + PE-KB evidence,65570,1259,0.977760127084988,0.9804662235731009,0.3612502008565889,0.03530083805244476,6557,1231,1203,0.9772542648253453,18.773829495195972,18.346804941284123
carrier,2025_09_to_2025_10_UA,PE-KB queue,60714,1463,0.9986329460013671,0.9983367905756957,0.9492415106097891,0.007504244916320785,6072,1461,1424,0.974674880219028,24.061264822134387,23.45191040843215
carrier,2025_09_to_2025_10_UA,LightGBM score + PE-KB evidence,60714,1463,0.9986329460013671,0.9983709432766033,0.9556245887991738,0.007793287556615534,6072,1461,1425,0.9753593429158111,24.061264822134387,23.468379446640316
carrier,2025_09_to_2025_10_UA,XGBoost score + PE-KB evidence,60714,1463,0.9986329460013671,0.9982823285250337,0.9543511820505495,0.008102091537719597,6072,1461,1425,0.9753593429158111,24.061264822134387,23.468379446640316
carrier,2025_09_to_2025_10_UA,CatBoost score + PE-KB evidence,60714,1463,0.9993164730006835,0.9982334557273999,0.950577520094265,0.0064953530973007835,6072,1462,1425,0.9746922024623803,24.077733860342555,23.468379446640316
carrier,2025_09_to_2025_10_WN,PE-KB queue,115315,6926,0.9672249494657811,0.9894675260675333,0.8810922276447353,0.0174860570378683,11532,6699,6628,0.9894014031945066,58.090530697190424,57.47485258411377
carrier,2025_09_to_2025_10_WN,LightGBM score + PE-KB evidence,115315,6926,0.9663586485706035,0.9918413448291762,0.8956099120013654,0.022839755401133678,11532,6693,6620,0.989093082324817,58.03850156087409,57.405480402358656
carrier,2025_09_to_2025_10_WN,XGBoost score + PE-KB evidence,115315,6926,0.9656367311579556,0.9921465637238682,0.8933644238172593,0.02141142874578657,11532,6688,6623,0.9902811004784688,57.99514394727714,57.43149497051682
carrier,2025_09_to_2025_10_WN,CatBoost score + PE-KB evidence,115315,6926,0.9669361825007219,0.9919025295428261,0.8841331259959553,0.015891348247413607,11532,6697,6629,0.9898461997909511,58.073187651751645,57.48352410683316
carrier,2025_10_to_2025_11_AA,PE-KB queue,64394,3708,0.9784250269687162,0.9956343307287719,0.9499075069194152,0.014715611764269717,6440,3628,3395,0.9357772877618522,56.33540372670807,52.71739130434783
carrier,2025_10_to_2025_11_AA,LightGBM score + PE-KB evidence,64394,3708,0.9889428263214671,0.9961693077397256,0.9509146809147618,0.014581088988170203,6440,3667,3397,0.9263703299700027,56.940993788819874,52.74844720496895
carrier,2025_10_to_2025_11_AA,XGBoost score + PE-KB evidence,64394,3708,0.9795037756202805,0.9954440396515055,0.9476853950176929,0.015036713691336084,6440,3632,3397,0.9352973568281938,56.39751552795031,52.74844720496895
carrier,2025_10_to_2025_11_AA,CatBoost score + PE-KB evidence,64394,3708,0.9843581445523193,0.9956252694605201,0.9496824041507113,0.012457482406120724,6440,3650,3396,0.9304109589041096,56.67701863354037,52.732919254658384
carrier,2025_10_to_2025_11_DL,PE-KB queue,73574,3011,0.9976751909664563,0.9979348123153517,0.9501908336295882,0.008213100248202673,7358,3004,2916,0.9707057256990679,40.82631149768959,39.630334329980975
carrier,2025_10_to_2025_11_DL,LightGBM score + PE-KB evidence,73574,3011,0.9966788442377947,0.9976052853984417,0.9379279915537067,0.008080809121139981,7358,3001,2916,0.971676107964012,40.78553954879043,39.630334329980975
carrier,2025_10_to_2025_11_DL,XGBoost score + PE-KB evidence,73574,3011,0.9980073065426769,0.997751688202406,0.9394082043823845,0.00846405812922891,7358,3005,2916,0.9703826955074876,40.83990214732264,39.630334329980975
carrier,2025_10_to_2025_11_DL,CatBoost score + PE-KB evidence,73574,3011,0.9980073065426769,0.9977271853653695,0.9372850873935233,0.008045434001284959,7358,3005,2916,0.9703826955074876,40.83990214732264,39.630334329980975
carrier,2025_10_to_2025_11_OO,PE-KB queue,59234,1066,0.9681050656660413,0.9743219194554016,0.3038508122431468,0.04132610861210931,5924,1032,1003,0.9718992248062015,17.420661715057392,16.931127616475354
carrier,2025_10_to_2025_11_OO,LightGBM score + PE-KB evidence,59234,1066,0.9652908067542214,0.9747567084588781,0.2905141794681894,0.04108579525557516,5924,1029,1003,0.9747327502429544,17.37002025658339,16.931127616475354
carrier,2025_10_to_2025_11_OO,XGBoost score + PE-KB evidence,59234,1066,0.9662288930581614,0.973681339462353,0.28895986874658164,0.04319201101566065,5924,1030,1001,0.9718446601941747,17.386900742741393,16.89736664415935
carrier,2025_10_to_2025_11_OO,CatBoost score + PE-KB evidence,59234,1066,0.9624765478424016,0.9730922132643932,0.30007630120846496,0.043976936159929106,5924,1026,1003,0.9775828460038987,17.319378798109387,16.931127616475354
carrier,2025_10_to_2025_11_UA,PE-KB queue,54506,2208,0.998641304347826,0.9983274068035966,0.9655397311530931,0.010300964238726994,5451,2205,2166,0.9823129251700681,40.451293340671434,39.73582828838745
carrier,2025_10_to_2025_11_UA,LightGBM score + PE-KB evidence,54506,2208,0.9977355072463768,0.9982370487884094,0.9715880799060576,0.010448046304020657,5451,2203,2165,0.9827507943713119,40.414602825169695,39.71748303063658
carrier,2025_10_to_2025_11_UA,XGBoost score + PE-KB evidence,54506,2208,0.9968297101449275,0.9981776024978926,0.9720588068360305,0.01065453496432751,5451,2201,2166,0.9840981372103589,40.37791230966795,39.73582828838745
carrier,2025_10_to_2025_11_UA,CatBoost score + PE-KB evidence,54506,2208,0.9981884057971014,0.9982034438164011,0.9703083038208636,0.008728975237001595,5451,2204,2166,0.9827586206896551,40.43294808292057,39.73582828838745
carrier,2025_10_to_2025_11_WN,PE-KB queue,104625,6614,0.9724826126398548,0.9906589541023884,0.8993584182074601,0.017020147108910554,10463,6432,6375,0.9911380597014925,61.47376469463825,60.92898786198987
carrier,2025_10_to_2025_11_WN,LightGBM score + PE-KB evidence,104625,6614,0.9727850015119444,0.9932812306260483,0.919839353503257,0.022067560790668756,10463,6434,6370,0.990052844264843,61.492879671222404,60.88120042052949
carrier,2025_10_to_2025_11_WN,XGBoost score + PE-KB evidence,104625,6614,0.9720290293317206,0.9932488169429905,0.9145688979976803,0.023474043079632207,10463,6429,6371,0.9909783792191632,61.44509222976202,60.89075790882156
carrier,2025_10_to_2025_11_WN,CatBoost score + PE-KB evidence,104625,6614,0.9732385848200786,0.9933601761164426,0.9091843768351077,0.01864013423696426,10463,6437,6376,0.9905235358086065,61.521552136098634,60.93854535028195
carrier,2025_11_to_2025_12_AA,PE-KB queue,66363,4279,0.9619069876139285,0.9927513905539613,0.9348908591711617,0.017245038819385397,6637,4116,3852,0.9358600583090378,62.01597107126714,58.03827030284767
carrier,2025_11_to_2025_12_AA,LightGBM score + PE-KB evidence,66363,4279,0.9707875671885955,0.9942982303721399,0.938267697996351,0.0191264078864629,6637,4154,3838,0.9239287433798749,62.5885189091457,57.827331625734516
carrier,2025_11_to_2025_12_AA,XGBoost score + PE-KB evidence,66363,4279,0.9588688946015425,0.9935507941136645,0.9346845691779727,0.019257054920781336,6637,4103,3828,0.9329758713136729,61.82009944251921,57.67666114208227
carrier,2025_11_to_2025_12_AA,CatBoost score + PE-KB evidence,66363,4279,0.9495209161018929,0.9929658415433928,0.9307033123994748,0.01769660559951161,6637,4063,3830,0.94265321191238,61.2174175079102,57.70679523881272
carrier,2025_11_to_2025_12_DL,PE-KB queue,72383,4466,0.9867890729959695,0.9957964863609075,0.9327375615767608,0.012827532309002921,7239,4407,4328,0.9820739732244157,60.87857438872773,59.78726343417599
carrier,2025_11_to_2025_12_DL,LightGBM score + PE-KB evidence,72383,4466,0.9890282131661442,0.9950842899766865,0.9231288700121429,0.014567096535981896,7239,4417,4322,0.9784921892687344,61.01671501588617,59.70437905788092
carrier,2025_11_to_2025_12_DL,XGBoost score + PE-KB evidence,72383,4466,0.9888042991491267,0.9953361285446138,0.9225073769459052,0.01474186596389358,7239,4416,4321,0.9784873188405797,61.002900953170325,59.690564995165076
carrier,2025_11_to_2025_12_DL,CatBoost score + PE-KB evidence,72383,4466,0.9843260188087775,0.9952996518939331,0.9262256495148442,0.012816701911232294,7239,4396,4312,0.9808917197452229,60.72661969885343,59.56623843072248
carrier,2025_11_to_2025_12_OO,PE-KB queue,59692,2414,0.8893951946975973,0.9612027212849564,0.4162365448892249,0.07173793786812974,5970,2147,2147,1.0,35.96314907872697,35.96314907872697
carrier,2025_11_to_2025_12_OO,LightGBM score + PE-KB evidence,59692,2414,0.8686826843413422,0.9591717865623938,0.3657935050860325,0.07350574982430011,5970,2097,2097,1.0,35.12562814070352,35.12562814070352
carrier,2025_11_to_2025_12_OO,XGBoost score + PE-KB evidence,59692,2414,0.867854183927092,0.9573386256127291,0.3422216752283451,0.07475761340795044,5970,2095,2095,1.0,35.09212730318258,35.09212730318258
carrier,2025_11_to_2025_12_OO,CatBoost score + PE-KB evidence,59692,2414,0.871996685998343,0.9573497307699106,0.3488130962140625,0.07621579048806645,5970,2105,2105,1.0,35.25963149078727,35.25963149078727
carrier,2025_11_to_2025_12_UA,PE-KB queue,53516,2358,0.9970313825275657,0.9981692077639627,0.9696933317836937,0.01188466291746567,5352,2351,2318,0.9859634198213526,43.92750373692078,43.31091180866966
carrier,2025_11_to_2025_12_UA,LightGBM score + PE-KB evidence,53516,2358,0.9995759117896522,0.9983951372390167,0.970123385235903,0.01276371555062179,5352,2357,2318,0.9834535426389478,44.039611360239164,43.31091180866966
carrier,2025_11_to_2025_12_UA,XGBoost score + PE-KB evidence,53516,2358,0.998303647158609,0.9983334613274294,0.9706985396815704,0.012886967102706318,5352,2354,2317,0.9842820730671198,43.98355754857997,43.29222720478326
carrier,2025_11_to_2025_12_UA,CatBoost score + PE-KB evidence,53516,2358,0.9991518235793045,0.9982981220248627,0.9683359730668499,0.010226650884786246,5352,2356,2318,0.9838709677419355,44.020926756352765,43.31091180866966
carrier,2025_11_to_2025_12_WN,PE-KB queue,110122,7914,0.9517311094263331,0.9856688391580024,0.8666343987399129,0.02129101544485431,11013,7532,7504,0.9962825278810409,68.39190048124944,68.13765549804776
carrier,2025_11_to_2025_12_WN,LightGBM score + PE-KB evidence,110122,7914,0.9470558503917109,0.9895162889080075,0.8945048003755938,0.026688768821698496,11013,7495,7456,0.9947965310206804,68.05593389630437,67.70180695541633
carrier,2025_11_to_2025_12_WN,XGBoost score + PE-KB evidence,110122,7914,0.9461713419257013,0.9893908392261662,0.88820351505608,0.02780969236329741,11013,7488,7453,0.9953258547008547,67.99237265050395,67.67456642150186
carrier,2025_11_to_2025_12_WN,CatBoost score + PE-KB evidence,110122,7914,0.9512256760171848,0.9899608209985585,0.88506791263313,0.023575291188758365,11013,7528,7485,0.994287991498406,68.35557976936347,67.96513211658949
